region,year,metric,value,unit,source,published_date,notes
United States,2020,Queue Depth,950,GW,LBNL Queued Up 2021 Edition,2021-05-01,"~750 GW gen + ~200 GW storage"
United States,2021,Queue Depth,1400,GW,LBNL Queued Up 2022 Edition,2022-04-01,"930 GW zero-carbon + 74 GW gas + others"
United States,2022,Queue Depth,2000,GW,LBNL Queued Up 2023 Edition,2023-04-01,"Explosive growth — IRA + AI demand"
United States,2023,Queue Depth,2600,GW,LBNL Queued Up 2024 Edition,2024-04-01,"1,570 GW gen + 1,030 GW storage — 2x US installed capacity"
United States,2024,Queue Depth,2290,GW,LBNL Queued Up 2025 Edition,2025-12-15,"1,400 GW gen + 890 GW storage — first decline in a decade (-12%)"
United States,2008,Avg Wait Time,2.0,years,UChicago / LBNL synthesis,2024-01-01,"Median from interconnection request to commercial operation"
United States,2015,Avg Wait Time,3.0,years,UChicago / LBNL synthesis,2024-01-01,"Median for projects built around 2015"
United States,2020,Avg Wait Time,3.7,years,LBNL Queued Up 2022 Edition,2022-04-01,"Median for 2011-2021 build cohort"
United States,2023,Avg Wait Time,5.0,years,UChicago / LBNL Queued Up 2024,2024-04-01,"Nearly 5 years — some regions 7+"
United States,2024,Avg Wait Time,4.0,years,LBNL Queued Up 2025 Edition,2025-12-15,"Median for 2018-2024 build cohort; >4 years"
United States,2016,Completion Rate,23,pct,LBNL Queued Up 2022 Edition,2022-04-01,"% of 2000-2016 requests that reached commercial operation"
United States,2018,Completion Rate,20,pct,LBNL Queued Up 2024 Edition,2024-04-01,"% of 2000-2018 requests built by end of 2023"
United States,2019,Completion Rate,13,pct,LBNL Queued Up 2025 Edition,2025-12-15,"% of 2000-2019 requests built by end of 2024; 77% withdrawn"
PJM Interconnect,2025,Queue Processed,170,GW,PJM 2025 Year in Review,2025-12-01,"170 GW of new generation requests processed since 2023"
PJM Interconnect,2025,Avg Wait Time,8.0,years,PJM / RMI,2025-01-01,"Up from <2 years in 2008 — worst among US ISOs"
PJM Interconnect,2025,DC Load Growth (2025-2030),30,GW,PJM Long-Term Load Forecast,2025-01-01,"Data centers account for 94% of projected peak load growth"
ERCOT,2024,Large Load Queue,63,GW,ERCOT / Latitude Media,2025-11-01,"End of 2024 baseline"
ERCOT,2025,Large Load Queue,226,GW,ERCOT / Latitude Media,2025-11-01,"Nearly 4x in one year — 73% are data centers"
ERCOT,2025,Generation Queue,432,GW,ERCOT,2025-12-01,"176 GW storage + 158 GW solar + 48 GW gas + others"
ERCOT,2025,New Generation Added (2024-25),23,GW,ERCOT,2025-12-01,"23 GW added 2024-2025; 9 GW more expected early 2026"
